@RELATION spammer

@ATTRIBUTE url             NUMERIC
@ATTRIBUTE followperfriend NUMERIC
@ATTRIBUTE retweet         NUMERIC
@ATTRIBUTE follower        NUMERIC
@ATTRIBUTE friend          NUMERIC
@ATTRIBUTE hashtagpertweet NUMERIC
@ATTRIBUTE incfollower     NUMERIC
@ATTRIBUTE incfriend       NUMERIC
@ATTRIBUTE class           {spammer, non-spammer}

@DATA
0.576142,0.883162,250,514,582,0.015228,291.000000,337.000000,spammer
0.778116,0.925193,44,841,909,0.048632,805.000000,857.000000,spammer
0.928302,0.783403,1,1501,1916,0.000000,1498.000000,1911.000000,spammer
0.005051,1.055394,1136,362,343,0.035354,338.000000,317.000000,spammer
0.586294,0.801792,0,1521,1897,0.065990,191.000000,204.000000,spammer
0.412698,0.882759,204,256,290,0.117460,73.000000,176.000000,spammer
0.832487,1.013676,39,1853,1828,0.071066,1723.000000,1756.000000,spammer
0.440299,1.061674,109,241,227,0.121891,184.000000,157.000000,spammer
0.837656,0.878413,2,1705,1941,0.000000,1686.000000,1936.000000,spammer
0.038168,1.309456,607,914,698,0.127226,906.000000,662.000000,spammer
0.005181,3.110204,5126,4572,1470,0.010363,4570.000000,1462.000000,spammer
0.512281,0.694013,403,313,451,0.291228,272.000000,418.000000,spammer
0.056701,0.551654,1479,817,1481,0.159794,679.000000,1266.000000,spammer
0.474654,0.613475,153,346,564,0.032258,42.000000,80.000000,spammer
0.715736,0.536663,2,1010,1882,0.025381,630.000000,-145.000000,spammer
0.015075,2.636364,1617,319,121,0.335008,224.000000,95.000000,spammer
0.935484,1.725318,1,1765,1023,0.000000,857.000000,-65.000000,spammer
0.407407,0.582015,551,699,1201,0.088889,690.000000,1199.000000,spammer
0.041475,2.165289,1141,524,242,0.156682,440.000000,165.000000,spammer
0.956853,0.714360,133,1368,1915,0.007614,1221.000000,1823.000000,spammer
1.000000,0.974214,139,45110,46304,0.012077,37395.000000,37641.000000,spammer
0.629442,0.977766,0,3782,3868,0.124365,-1012.000000,-324.000000,spammer
0.180203,1.042857,27,876,840,0.043147,321.000000,285.000000,spammer
0.423858,1.087935,24,2128,1956,0.007614,1930.000000,1893.000000,spammer
0.289340,3.505119,1631,2054,586,0.182741,1204.000000,-445.000000,spammer
0.025381,0.706278,8,315,446,0.109137,266.000000,412.000000,spammer
0.040816,0.337049,0,635,1884,0.020408,-74.000000,-102.000000,spammer
0.280612,0.435484,2115,297,682,0.048469,193.000000,499.000000,spammer
0.237705,0.903974,9,273,302,0.221311,254.000000,294.000000,spammer
0.584416,0.350877,104,240,684,0.607143,182.000000,603.000000,spammer
0.373096,0.310853,1726,401,1290,0.304569,398.000000,1287.000000,spammer
0.294416,0.238325,623,148,621,0.304569,139.000000,612.000000,spammer
0.009054,1.162528,735,1030,886,0.171026,995.000000,831.000000,spammer
0.370460,0.672978,1712,1173,1743,0.079903,623.000000,1140.000000,spammer
0.730964,0.976378,275,620,635,0.078680,540.000000,581.000000,spammer
0.376289,0.960082,536,938,977,0.427835,18.000000,-920.000000,spammer
0.875989,0.749469,21,353,471,0.781003,333.000000,469.000000,spammer
0.926396,0.899668,628,2170,2412,0.020305,-264.000000,-178.000000,spammer
0.043478,2.045181,600,679,332,0.118357,266.000000,121.000000,spammer
0.604430,0.488591,22,364,745,0.025316,358.000000,735.000000,spammer
0.796954,0.928244,11,14165,15260,0.426396,13813.000000,14862.000000,spammer
0.007614,0.946269,730,317,335,0.116751,315.000000,335.000000,spammer
0.444444,0.727941,0,1188,1632,0.000000,10.000000,-311.000000,spammer
0.591371,1.477564,112,2305,1560,0.520305,1335.000000,889.000000,spammer
0.865482,1.084323,46,1826,1684,0.190355,467.000000,206.000000,spammer
0.027919,1.813433,233,243,134,0.086294,226.000000,127.000000,spammer
0.627273,14.257829,1071,119281,8366,0.109091,85254.000000,-1559.000000,spammer
0.774112,1.349222,106,1387,1028,0.157360,1382.000000,1022.000000,spammer
1.000000,0.739289,2,1415,1914,0.000000,1403.000000,1913.000000,spammer
0.471744,0.721505,331,671,930,0.379607,204.000000,285.000000,spammer
1.000000,1.006747,9,3432,3409,0.000000,1300.000000,1123.000000,spammer
0.397727,1.401606,1343,1047,747,0.183081,990.000000,696.000000,spammer
0.035714,2.477273,306,218,88,0.191327,180.000000,61.000000,spammer
0.295970,0.473430,86,588,1242,0.415617,587.000000,1241.000000,spammer
0.215736,0.810500,35,1621,2000,0.535533,1617.000000,1993.000000,spammer
0.273196,0.621547,343,225,362,0.139175,173.000000,334.000000,spammer
0.101523,0.799451,1321,291,364,0.101523,214.000000,273.000000,spammer
0.639175,0.345098,3989,88,255,0.170103,67.000000,234.000000,spammer
0.568528,1.358773,207,1905,1402,0.555838,1202.000000,739.000000,spammer
0.164975,0.977058,87,724,741,0.022843,706.000000,710.000000,spammer
1.000000,1.018920,1,3339,3277,0.000000,439.000000,344.000000,spammer
0.284264,1.046368,43,4062,3882,0.068528,3391.000000,3166.000000,spammer
0.027919,1.140884,72,413,362,0.093909,396.000000,330.000000,spammer
0.732258,0.176201,255,308,1748,0.032258,301.000000,1742.000000,spammer
0.664336,0.703157,7,1381,1964,0.181818,1379.000000,1963.000000,spammer
0.936548,0.660555,18,1261,1909,0.116751,-99.000000,-92.000000,spammer
0.441397,1.025381,2675,404,394,0.244389,113.000000,237.000000,spammer
0.997462,1.017152,4,9607,9445,0.000000,-1541.000000,560.000000,spammer
0.373096,1.023095,4,886,866,0.025381,40.000000,-474.000000,spammer
0.154639,0.766556,160,463,604,0.015464,148.000000,344.000000,spammer
0.661616,1.661414,299,3479,2094,0.202020,2196.000000,1016.000000,spammer
0.175958,0.916536,1172,4689,5116,0.411150,4527.000000,4243.000000,spammer
0.268765,0.745467,105,1069,1434,0.215496,90.000000,119.000000,spammer
0.332487,0.935733,59,1092,1167,0.101523,1062.000000,1100.000000,spammer
0.453039,0.485000,121,194,400,0.143646,83.000000,235.000000,spammer
0.022843,1.175676,187,261,222,0.154822,244.000000,202.000000,spammer
0.028571,0.823370,763,606,736,0.145455,568.000000,699.000000,spammer
0.010204,0.522596,193,451,863,0.091837,332.000000,713.000000,spammer
0.025189,1.145383,319,583,509,0.060453,501.000000,449.000000,spammer
0.175000,0.895522,430,360,402,0.300000,233.000000,283.000000,spammer
0.126904,1.038827,580,1311,1262,0.111675,1286.000000,1241.000000,spammer
0.713793,0.606802,43,1017,1676,0.020690,589.000000,997.000000,spammer
1.000000,1.017638,1,1904,1871,0.000000,1505.000000,1292.000000,spammer
0.038071,1.012739,1178,636,628,0.126904,635.000000,624.000000,spammer
0.426667,0.913043,15,525,575,0.280000,502.000000,564.000000,spammer
0.203774,0.910573,25,3462,3802,0.086792,3456.000000,3800.000000,spammer
0.997462,0.890880,2,3331,3739,0.012690,2668.000000,1589.000000,spammer
0.160369,3.985915,4994,566,142,0.086482,529.000000,107.000000,spammer
0.291878,0.649175,927,1299,2001,0.284264,733.000000,1053.000000,spammer
0.538647,0.604888,7,297,491,0.335749,256.000000,459.000000,spammer
0.240974,0.889168,858,1773,1994,0.170445,1658.000000,1834.000000,spammer
0.154822,1.108541,524,623,562,0.263959,462.000000,365.000000,spammer
0.911168,2.419948,82,922,381,0.243655,833.000000,347.000000,spammer
0.898477,1.063568,0,1991,1872,0.000000,178.000000,-205.000000,spammer
0.329949,0.769231,0,330,429,0.111675,212.000000,91.000000,spammer
0.195876,0.646760,493,509,787,0.422680,264.000000,542.000000,spammer
0.176056,0.485757,3,972,2001,0.010563,-198.000000,6.000000,spammer
0.022843,1.240000,87,651,525,0.038071,630.000000,516.000000,spammer
0.190476,1.181592,1004,950,804,0.208020,948.000000,802.000000,spammer
0.406091,1.025714,614,718,700,0.129442,404.000000,390.000000,spammer
0.101523,1.447917,811,139,96,0.020305,-31.000000,57.000000,spammer
0.017949,0.759630,2,493,649,0.002564,-83.000000,-45.000000,spammer
0.236641,0.793794,1258,1586,1998,0.081425,234.000000,754.000000,spammer
0.373096,0.877049,520,856,976,0.393401,764.000000,927.000000,spammer
0.364865,0.550296,0,930,1690,0.148649,287.000000,-225.000000,spammer
0.633117,0.951009,114,660,694,0.347403,654.000000,694.000000,spammer
1.000000,0.681159,0,1363,2001,0.000000,1173.000000,1857.000000,spammer
0.720812,0.331678,18,334,1007,0.065990,324.000000,996.000000,spammer
0.091371,3.276699,50,2025,618,0.121827,1770.000000,400.000000,spammer
0.751269,0.645726,92,627,971,0.002538,459.000000,707.000000,spammer
0.210660,2.975782,199,2949,991,0.111675,2695.000000,640.000000,spammer
0.780303,0.595681,188,800,1343,0.179293,797.000000,1337.000000,spammer
0.038168,1.895377,1613,779,411,0.099237,776.000000,398.000000,spammer
0.992386,1.145945,296,5355,4673,0.002538,5299.000000,4621.000000,spammer
0.538700,0.928016,7,477,514,0.157895,328.000000,323.000000,spammer
0.112903,3.159292,1276,2856,904,0.071429,1445.000000,-14.000000,spammer
0.159898,0.797706,904,765,959,0.210660,715.000000,949.000000,spammer
0.033816,3.080198,1542,3111,1010,0.086957,2992.000000,824.000000,spammer
0.682741,2.055961,53,2535,1233,0.246193,268.000000,-763.000000,spammer
0.723350,1.363708,227,1736,1273,0.883249,554.000000,-721.000000,spammer
0.621762,0.944742,437,2120,2244,0.067358,1155.000000,1127.000000,spammer
0.017722,0.478043,1196,762,1594,0.248101,736.000000,1532.000000,spammer
0.030534,2.457971,303,848,345,0.127226,843.000000,345.000000,spammer
0.197970,0.900990,1,1365,1515,0.000000,-189.000000,-104.000000,spammer
0.375635,0.361616,1863,358,990,0.340102,9.000000,558.000000,spammer
0.572519,1.001382,1693,1449,1447,0.150127,941.000000,1107.000000,spammer
0.404624,0.356632,0,648,1817,0.000000,-182.000000,-115.000000,spammer
0.789340,0.797883,155,1583,1984,0.456853,822.000000,990.000000,spammer
0.701031,0.279980,1762,558,1993,0.608247,492.000000,1851.000000,spammer
0.503817,0.725000,342,580,800,0.170483,539.000000,768.000000,spammer
0.126904,0.804309,6,448,557,0.182741,138.000000,186.000000,spammer
0.117647,0.442968,1624,400,903,0.156010,-123.000000,85.000000,spammer
0.489848,0.909395,163,4346,4779,0.035533,4344.000000,4779.000000,spammer
0.114213,1.600717,73,2233,1395,0.261421,1984.000000,1151.000000,spammer
0.405325,0.687956,638,1131,1644,0.186391,1096.000000,1604.000000,spammer
